約定日,受渡日,ファンド名,分配金,口座,取引,買付方法,数量［口］,単価,経費,為替レート,受付金額[現地通貨],受渡金額/(ポイント利用)[円],決済通貨
"2022/4/7","2022/4/12","eMAXIS Slim 米国株式(S&P500)","再投資型","特定","買付","通常","52","19,367","0","-","-","100(98)","円"
"2022/5/10","2022/5/13","eMAXIS Slim 米国株式(S&P500)","再投資型","特定","買付","積立","55","18,154","0","-","-","100(100)","円"
"2022/6/9","2022/6/14","eMAXIS Slim 米国株式(S&P500)","再投資型","特定","買付","積立","52","19,387","0","-","-","100(33)","円"
"2022/7/11","2022/7/14","eMAXIS Slim 米国株式(S&P500)","再投資型","特定","買付","積立","54","18,667","0","-","-","100(40)","円"
"2022/8/9","2022/8/15","eMAXIS Slim 米国株式(S&P500)","再投資型","特定","買付","積立","51","19,603","0","-","-","100(51)","円"
"2022/9/9","2022/9/14","eMAXIS Slim 米国株式(S&P500)","再投資型","特定","買付","積立","50","20,255","0","-","-","100(6)","円"
"2022/10/12","2022/10/17","eMAXIS Slim 米国株式(S&P500)","再投資型","特定","買付","積立","54","18,468","0","-","-","100","円"
"2022/11/9","2022/11/14","eMAXIS Slim 米国株式(S&P500)","再投資型","特定","買付","積立","51","19,660","0","-","-","100","円"
"2022/12/9","2022/12/14","eMAXIS Slim 米国株式(S&P500)","再投資型","特定","買付","積立","52","19,153","0","-","-","100","円"
"2023/1/11","2023/1/16","eMAXIS Slim 米国株式(S&P500)","再投資型","特定","買付","積立","55","18,330","0","-","-","100(100)","円"
"2023/2/9","2023/2/14","eMAXIS Slim 米国株式(S&P500)","再投資型","特定","買付","積立","52","19,161","0","-","-","100(100)","円"
"2023/3/9","2023/3/14","eMAXIS Slim 米国株式(S&P500)","再投資型","特定","買付","積立","52","19,378","0","-","-","100(61)","円"
"2023/3/22","2023/3/27","eMAXIS Slim 米国株式(S&P500)","再投資型","特定","解約","","630","18,797","0","-","-","1,184","円"
"2023/3/22","2023/3/27","eMAXIS Slim 米国株式(S&P500)","再投資型","旧NISA","買付","通常","53","18,797","0","-","-","100(5)","円"
