約定日,受渡日,ティッカー,銘柄名,口座,取引区分,売買区分,信用区分,弁済期限,決済通貨,数量［株］,単価［USドル］,約定代金［USドル］,為替レート,手数料［USドル］,税金［USドル］,受渡金額［USドル］,受渡金額［円］
"2022/4/26","2022/4/28","VYM","VNG HI DIV YIELD","特定","現物","買付","-","-","円","1","110.0600","110.06","127.810","-","-","-","14,066.00"
"2023/3/20","2023/3/23","VYM","VNG HI DIV YIELD","特定","現物","売付","-","-","円","1","102.9500","102.95","132.390","0.47","0.04","-","13,562.00"
"2023/3/24","2023/3/28","VOO","VANGUARD SP 500","旧NISA","現物","買付","-","-","円","1","364.4800","364.48","130.750","-","-","-","47,655.00"
"2023/3/24","2023/3/28","SPYD","SPDR SP500 H DIV","旧NISA","現物","買付","-","-","円","1","36.0700","36.07","130.750","-","-","-","4,716.00"
"2023/5/17","2023/5/19","SPYD","SPDR SP500 H DIV","旧NISA","現物","買付","-","-","円","1","36.0000","36.00","136.670","-","-","-","4,920.00"
"2023/5/25","2023/5/29","SPYD","SPDR SP500 H DIV","旧NISA","現物","買付","-","-","円","1","36.0000","36.00","139.730","-","-","-","5,030.00"
"2023/5/25","2023/5/29","SPYD","SPDR SP500 H DIV","旧NISA","現物","買付","-","-","円","1","35.6000","35.60","139.730","-","-","-","4,974.00"
"2023/6/26","2023/6/28","SPYD","SPDR SP500 H DIV","旧NISA","現物","買付","-","-","ＵＳドル","1","35.9000","35.90","143.650","-","-","35.90","-"
"2023/6/29","2023/7/3","VYM","VNG HI DIV YIELD","旧NISA","現物","買付","-","-","ＵＳドル","1","104.5800","104.58","144.490","0.47","0.04","105.09","-"
"2023/10/3","2023/10/5","VYM","VNG HI DIV YIELD","旧NISA","現物","買付","-","-","ＵＳドル","2","102.0000","204.00","150.130","0.91","0.09","205.00","-"
"2023/10/4","2023/10/6","VYM","VNG HI DIV YIELD","旧NISA","現物","買付","-","-","ＵＳドル","3","101.6400","304.92","149.470","1.37","0.13","306.42","-"
"2023/10/4","2023/10/6","VYM","VNG HI DIV YIELD","旧NISA","現物","買付","-","-","ＵＳドル","3","101.0000","303.00","149.470","1.36","0.13","304.49","-"
"2023/10/4","2023/10/6","SPYD","SPDR SP500 H DIV","旧NISA","現物","買付","-","-","ＵＳドル","5","34.1300","170.65","149.470","-","-","170.65","-"
"2023/10/4","2023/10/6","SPYD","SPDR SP500 H DIV","旧NISA","現物","買付","-","-","ＵＳドル","3","34.0000","102.00","149.470","-","-","102.00","-"
"2024/2/14","2024/2/16","SPYD","SPDR SP500 H DIV","NISA成長投資枠","現物","買付","-","-","ＵＳドル","5","38.0200","190.10","150.950","-","-","190.10","-"
"2024/9/9","2024/9/11","VOO","VANGUARD SP 500","NISA成長投資枠","現物","買付","-","-","ＵＳドル","1","500.0000","500.00","142.930","-","-","500.00","-"
"2025/2/12","2025/2/14","SPYD","SPDR SP500 H DIV","NISA成長投資枠","現物","買付","-","-","ＵＳドル","3","43.7000","131.10","153.490","-","-","131.10","-"
